ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full Name,Publisher,Alignment,Gender,Race,Height,Weight,Eye_Color,Hair_Color,Work,Image
1,A-Bomb,38,100,17,80,24,64,Richard Milhouse Jones,Marvel Comics,good,Male,Human,203 cm,441 kg,Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
2,Abe Sapien,88,28,35,65,100,85,Abraham Sapien,Dark Horse Comics,good,Male,Icthyo Sapien,191 cm,65 kg,Blue,No Hair,Paranormal Investigator,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
3,Abin Sur,50,90,53,64,99,65,,DC Comics,good,Male,Ungaran,185 cm,90 kg,Blue,No Hair,"Green Lantern, former history professor",https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
4,Abomination,63,80,53,90,62,95,Emil Blonsky,Marvel Comics,bad,Male,Human / Radiation,203 cm,441 kg,Green,No Hair,Ex-Spy,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
5,Abraxas,88,63,83,100,100,55,Abraxas,Marvel Comics,bad,Male,Cosmic Entity,0 cm,0 kg,Blue,Black,Dimensional destroyer,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
6,Absorbing Man,38,80,25,100,98,64,Carl Creel,Marvel Comics,bad,Male,Human,193 cm,122 kg,Blue,No Hair,Professional criminal; former professional boxer,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
7,Adam Monroe,63,10,12,100,100,64,,NBC - Heroes,good,Male,null,0 cm,0 kg,Blue,Blond,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
8,Adam Strange,69,10,33,40,37,50,Adam Strange,DC Comics,good,Male,Human,185 cm,88 kg,Blue,Blond,"Adventurer, archaelogist, ambassador",https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
9,Agent 13,null,46,null,null,null,null,Sharon Carter,Sharon Carter,good,Female,null,173 cm,61 kg,Blue,Blond,Agent of SHIELD,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
10,Agent Bob,10,8,13,5,5,20,Bob,Marvel Comics,good,Male,Human,178 cm,81 kg,Brown,Brown,"Mercenary, janitor; former pirate, terrorist",https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
11,Agent Zero,75,28,38,80,72,95,Christoph Nord,Marvel Comics,good,Male,null,191 cm,104 kg,-,-,"Mercenary, former government operative, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/396.jpg
12,Air-Walker,50,85,100,85,100,40,Gabriel Lan,Marvel Comics,bad,Male,null,188 cm,108 kg,Blue,White,"Former starship captain, Herald of Galactus",https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg
13,Ajax,56,48,35,80,34,55,Francis,Marvel Comics,bad,Male,Cyborg,193 cm,90 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
14,Alan Scott,63,80,23,90,100,32,Alan Ladd Wellington Scott,DC Comics,good,Male,null,180 cm,90 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg
15,Alex Mercer,50,80,42,90,100,50,Alexander J. Mercer,Wildstorm,bad,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
16,Alex Woolsly,null,37,null,null,null,null,Alex Woolsly,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,Employee at Sam's Comics,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg
17,Alfred Pennyworth,63,10,17,10,7,55,Alfred Thaddeus Crane Pennyworth,DC Comics,good,Male,Human,178 cm,72 kg,Blue,Black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
18,Alien,50,28,42,90,57,60,Xenomorph,Dark Horse Comics,bad,Male,Xenomorph XX121,244 cm,169 kg,-,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
19,Allan Quatermain,null,null,null,null,null,null,,Wildstorm,good,Male,null,0 cm,0 kg,-,-,(former) hunter; (current) agent of the British government,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg
20,Amazo,63,100,83,100,100,100,,DC Comics,bad,Male,Android,257 cm,173 kg,Red,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg
21,Ammo,null,null,null,null,null,null,,Marvel Comics,bad,Male,Human,188 cm,101 kg,Brown,Black,"Gang leader , criminal , former soldier",https://www.superherodb.com/pictures2/portraits/10/100/184.jpg
22,Ando Masahashi,null,null,null,null,null,null,Ando Masahashi,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,Yamagato Industries computer programmer,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg
23,Angel,75,30,58,90,100,75,Liam,Dark Horse Comics,good,Male,Vampire,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
24,Angel,63,13,46,64,28,42,Warren Kenneth Worthington III,Archangel,good,Male,null,183 cm,68 kg,Blue,Blond,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",https://www.superherodb.com/pictures2/portraits/10/100/829.jpg
25,Angel Dust,38,55,23,42,17,30,Christina,Marvel Comics,good,Female,Mutant,165 cm,57 kg,Yellow,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
26,Angel Salvadore,38,10,28,28,56,60,Angel Salvadore Bohusk,Tempest,good,Female,null,163 cm,54 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg
27,Angela,null,97,null,null,null,null,,Image Comics,bad,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg
28,Animal Man,56,48,47,85,73,80,Bernhard Baker,DC Comics,good,Male,Human,183 cm,83 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
29,Annihilus,75,80,47,56,59,64,Annihilus,Marvel Comics,bad,Male,null,180 cm,90 kg,Green,No Hair,"Conqueror, scavenger",https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg
30,Ant-Man,100,18,23,28,32,32,Hank Pym,Giant-Man,good,Male,Human,211 cm,122 kg,Blue,Blond,"Adventurer, Biochemist, former manager of Avengers Compound",https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
31,Ant-Man II,75,18,17,40,53,30,Scott Lang,Marvel Comics,good,Male,Human,183 cm,86 kg,Blue,Blond,"Electronics Technician,",https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
32,Anti-Monitor,88,100,50,100,100,90,,DC Comics,bad,Male,God / Eternal,61.0 meters,0 kg,Yellow,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg
33,Anti-Spawn,null,58,null,null,null,null,Jason Wynn,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg
34,Anti-Venom,75,60,65,90,96,84,Eddie Brock,Toxin,-,Male,Symbiote,229 cm,358 kg,Blue,Blond,Vigilante; former journalist for the Daily Globe,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg
35,Apocalypse,100,100,33,100,100,60,En Sabah Nur,Marvel Comics,bad,Male,Mutant,213 cm,135 kg,Red,Black,Student; formerly Conqueror; Scientist,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg
36,Aquababy,10,16,12,14,37,14,"Arthur Curry, Jr.",DC Comics,good,Male,null,0 cm,0 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg
37,Aqualad,63,44,42,75,89,60,Garth,DC Comics,good,Male,Atlantean,178 cm,106 kg,Blue,Black,"Adventurer; Magician, former Sidekick",https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg
